date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:41	612/612	---M-Z	200	added ('OK')	application/javascript	etag:%22264-53400f83dd740-gzip%22	https://arsem.com.ar/js/scrolling-nav.js	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/js/scrolling-nav.js	(from https://arsem.com.ar/)
10:14:43	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	/home/sj/Desktop/sanjoseconsultora/www.google-analytics.com/analytics.js	(from https://arsem.com.ar/)
10:14:44	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2023%20Jan%202020%2013:14:43%20GMT	https://fonts.googleapis.com/robots.txt		(from https://arsem.com.ar/)
10:14:45	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Jan%202020%2013:14:44%20GMT	http://v2.zopim.com/robots.txt		(from https://arsem.com.ar/)
10:14:45	1411/1411	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22583-5865e70ae1dfb%22	https://arsem.com.ar/servicios.html	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/servicios.html	(from https://arsem.com.ar/higiene-y-seguridad.html)
10:14:46	46928/46928	---M--	200	added ('OK')	image/jpeg	etag:%22b750-52ad39b359780%22	https://arsem.com.ar/images/higiene-y-seguridad-big.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/higiene-y-seguridad-big.jpg	(from https://arsem.com.ar/higiene-y-seguridad.html)
10:14:47	14044/14044	---M-Z	200	added ('OK')	text/html	etag:%2236dc-57701ffde88c0-gzip%22	https://arsem.com.ar/contacto.html	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/contacto-2.html	(from https://arsem.com.ar/higiene-y-seguridad.html)
10:14:49	135027/135027	---M--	200	added ('OK')	image/jpeg	etag:%2220f73-52ad39a7e7c80%22	https://arsem.com.ar/images/consorcios-big.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consorcios-big.jpg	(from https://arsem.com.ar/consorcios.html)
10:14:49	96950/96950	---M--	200	added ('OK')	image/jpeg	etag:%2217ab6-52ad39b72a080%22	https://arsem.com.ar/images/planes-de-evacuacion-big.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/planes-de-evacuacion-big.jpg	(from https://arsem.com.ar/planes-de-evacuacion.html)
10:14:50	70040/70040	---M--	200	added ('OK')	image/jpeg	etag:%2211198-52ad39b541c00%22	https://arsem.com.ar/images/medio-ambiente-big.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/medio-ambiente-big.jpg	(from https://arsem.com.ar/medio-ambiente.html)
10:14:51	22719/22719	---M--	200	added ('OK')	image/jpeg	etag:%2258bf-52ad39a9d0100%22	https://arsem.com.ar/images/consultoria-ambiental/acumar.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consultoria-ambiental/acumar.jpg	(from https://arsem.com.ar/medio-ambiente.html)
10:14:52	51376/51376	---M--	200	added ('OK')	image/jpeg	etag:%22c8b0-52ad39ae94c40%22	https://arsem.com.ar/images/consultoria-ambiental/secretaria-de-ambiente.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consultoria-ambiental/secretaria-de-ambiente.jpg	(from https://arsem.com.ar/medio-ambiente.html)
10:14:53	60391/60391	---M--	200	added ('OK')	image/jpeg	etag:%22ebe7-52ad39ae94c40%22	https://arsem.com.ar/images/consultoria-ambiental/opds.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consultoria-ambiental/opds.jpg	(from https://arsem.com.ar/medio-ambiente.html)
10:14:54	70468/70468	---M--	200	added ('OK')	image/jpeg	etag:%2211344-52ad39aac4340%22	https://arsem.com.ar/images/consultoria-ambiental/agencia.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consultoria-ambiental/agencia.jpg	(from https://arsem.com.ar/medio-ambiente.html)
10:14:55	37794/37794	---M--	200	added ('OK')	image/jpeg	etag:%2293a2-52ad39a9d0100%22	https://arsem.com.ar/images/consultoria-ambiental/ada.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consultoria-ambiental/ada.jpg	(from https://arsem.com.ar/medio-ambiente.html)
10:14:56	50896/50896	---M--	200	added ('OK')	image/jpeg	etag:%22c6d0-52ad39abb8580%22	https://arsem.com.ar/images/consultoria-ambiental/ina.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consultoria-ambiental/ina.jpg	(from https://arsem.com.ar/medio-ambiente.html)
10:14:57	33012/33012	---M--	200	added ('OK')	image/jpeg	etag:%2280f4-52ad39abb8580%22	https://arsem.com.ar/images/consultoria-ambiental/aysa.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consultoria-ambiental/aysa.jpg	(from https://arsem.com.ar/medio-ambiente.html)
10:14:58	12053/12053	---M--	200	added ('OK')	image/jpeg	etag:%222f15-52ad39acac7c0%22	https://arsem.com.ar/images/consultoria-ambiental/minicipios.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/consultoria-ambiental/minicipios.jpg	(from https://arsem.com.ar/medio-ambiente.html)
10:14:59	27539/27539	---M--	200	added ('OK')	image/jpeg	etag:%226b93-53a3bc9392440%22	https://arsem.com.ar/images/clientes/empresas/ypf.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/clientes/empresas/ypf.jpg	(from https://arsem.com.ar/clientes.html)
10:15:00	49355/49355	---M--	200	added ('OK')	image/jpeg	etag:%22c0cb-53a3bc6012ac0%22	https://arsem.com.ar/images/clientes/empresas/fuerza-aerea-argentina.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/clientes/empresas/fuerza-aerea-argentina.jpg	(from https://arsem.com.ar/clientes.html)
10:15:01	52308/52308	---M--	200	added ('OK')	image/jpeg	etag:%22cc54-53a3bc4cffdc0%22	https://arsem.com.ar/images/clientes/empresas/agn.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/clientes/empresas/agn.jpg	(from https://arsem.com.ar/clientes.html)
10:15:02	18863/18863	---M--	200	added ('OK')	image/jpeg	etag:%2249af-53a3bc66bfa80%22	https://arsem.com.ar/images/clientes/empresas/grupo-modena.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/clientes/empresas/grupo-modena.jpg	(from https://arsem.com.ar/clientes.html)
10:15:03	36571/36571	---M--	200	added ('OK')	image/jpeg	etag:%228edb-53a3bc5e2a640%22	https://arsem.com.ar/images/clientes/empresas/ford.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/clientes/empresas/ford.jpg	(from https://arsem.com.ar/clientes.html)
10:15:04	30561/30561	---M--	200	added ('OK')	image/jpeg	etag:%227761-53a3bc8ce5480%22	https://arsem.com.ar/images/clientes/empresas/sat.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/clientes/empresas/sat.jpg	(from https://arsem.com.ar/clientes.html)
10:15:05	32871/32871	---M--	200	added ('OK')	image/jpeg	etag:%228067-53a3bc577d680%22	https://arsem.com.ar/images/clientes/empresas/distribuidora-rojo.jpg	/home/sj/Desktop/sanjoseconsultora/arsem.com.ar/images/clientes/empresas/distribuidora-rojo.jpg	(from https://arsem.com.ar/clientes.html)
